year,round,driver_id,elo_before,elo_change_last_race,elo_change_last_5,elo_trend_direction
2022,19,russell,1704.39,-9.490000000000009,-192.78999999999996,-1
2022,20,russell,1773.23,68.83999999999992,-147.01999999999998,1
2022,21,russell,1841.79,68.55999999999995,-144.23000000000002,1
2022,22,russell,1963.13,121.34000000000015,-46.87999999999988,1
2023,1,russell,1897.3,-65.83000000000015,183.41999999999985,-1
2023,2,russell,1834.3,-63.0,129.90999999999985,-1
2023,3,russell,1871.44,37.1400000000001,98.21000000000004,1
2023,4,russell,1521.27,-350.1700000000001,-320.52,-1
2023,5,russell,1608.6,87.32999999999993,-354.5300000000002,1
2023,6,russell,1743.89,135.2900000000002,-153.40999999999985,1
2023,7,russell,1803.81,59.919999999999845,-30.49000000000001,1
2023,8,russell,1887.77,83.96000000000004,16.329999999999927,1
2023,9,russell,1502.93,-384.8399999999999,-18.339999999999918,-1
2023,10,russell,1619.79,116.8599999999999,11.190000000000055,1
2023,11,russell,1731.37,111.57999999999993,-12.52000000000021,1
2023,12,russell,1777.53,46.16000000000008,-26.279999999999973,1
2023,13,russell,1811.78,34.25,-75.99000000000001,1
2023,14,russell,1524.27,-287.51,21.339999999999918,-1
2023,15,russell,1678.89,154.62000000000012,59.100000000000136,1
2023,16,russell,1492.07,-186.82000000000016,-239.29999999999995,-1
2023,17,russell,1627.35,135.27999999999997,-150.18000000000006,1
2023,18,russell,1772.06,144.71000000000004,-39.72000000000003,1
2023,19,russell,1820.01,47.950000000000045,295.74,1
2023,20,russell,1812.72,-7.289999999999964,133.82999999999993,-1
2023,21,russell,1576.18,-236.53999999999996,84.11000000000013,-1
2023,22,russell,1644.52,68.33999999999992,17.170000000000073,1
2024,1,russell,1762.89,118.37000000000012,-9.169999999999845,1
2024,2,russell,1805.01,42.11999999999989,-15.0,1
2024,3,russell,1804.93,-0.07999999999992724,-7.789999999999964,-1
2024,4,russell,1507.37,-297.5600000000002,-68.81000000000017,-1
2024,5,russell,1625.86,118.49000000000001,-18.660000000000082,1
2024,6,russell,1715.57,89.71000000000004,-47.320000000000164,1
2024,7,russell,1715.15,-0.4199999999998454,-89.8599999999999,-1
2024,8,russell,1743.32,28.169999999999845,-61.61000000000013,1
2024,9,russell,1812.73,69.41000000000008,305.3600000000001,1
2024,10,russell,1908.34,95.6099999999999,282.48,1
2024,11,russell,1930.41,22.070000000000164,214.84000000000015,1
2024,12,russell,2031.61,101.19999999999982,316.4599999999998,1
2024,13,russell,1580.18,-451.42999999999984,-163.13999999999987,-1
2024,14,russell,1636.79,56.6099999999999,-175.94000000000005,1
2024,15,russell,1349.61,-287.18000000000006,-558.73,-1
2024,16,russell,1531.06,181.45000000000005,-399.35000000000014,1
2024,17,russell,1641.46,110.40000000000009,-390.14999999999986,1
2024,18,russell,1806.98,165.51999999999998,226.79999999999995,1
2024,19,russell,1876.88,69.90000000000009,240.09000000000015,1
2024,20,russell,1876.34,-0.540000000000191,526.73,-1
2024,21,russell,1896.71,20.37000000000012,365.6500000000001,1
2024,22,russell,1932.78,36.069999999999936,291.31999999999994,1
2024,23,russell,2032.09,99.30999999999995,225.1099999999999,1
2024,24,russell,2021.29,-10.799999999999955,144.40999999999985,-1
2025,1,russell,1937.43,-83.8599999999999,61.090000000000146,-1
2025,2,russell,1981.25,43.819999999999936,84.53999999999996,1
2025,3,russell,2006.05,24.799999999999955,73.26999999999998,1
2025,4,russell,1969.12,-36.930000000000064,-62.97000000000003,-1
2025,5,russell,2029.32,60.200000000000045,8.029999999999973,1
2025,6,russell,1996.28,-33.039999999999964,58.84999999999991,-1
2025,7,russell,2032.25,35.97000000000003,51.0,1
2025,8,russell,1953.22,-79.02999999999997,-52.82999999999993,-1
2025,9,russell,1790.67,-162.54999999999995,-178.44999999999982,-1
2025,10,russell,1876.54,85.86999999999989,-152.77999999999997,1
2025,11,russell,2008.1,131.55999999999995,11.819999999999936,1
2025,12,russell,1982.2,-25.899999999999864,-50.049999999999955,-1
2025,13,russell,1819.69,-162.51,-133.52999999999997,-1
2025,14,russell,1857.62,37.929999999999836,66.94999999999982,1
2025,15,russell,1934.92,77.30000000000018,58.38000000000011,1
2025,16,russell,1956.6,21.679999999999836,-51.5,1
2025,17,russell,1932.85,-23.75,-49.350000000000136,-1
2025,18,russell,2003.69,70.84000000000015,184.0,1
2025,19,russell,2070.23,66.53999999999996,212.61000000000013,1
2025,20,russell,1989.52,-80.71000000000004,54.59999999999991,-1
2025,21,russell,1913.45,-76.06999999999994,-43.149999999999864,-1
2025,22,russell,1950.62,37.169999999999845,17.769999999999982,1
2025,23,russell,2023.18,72.56000000000017,19.49000000000001,1
2025,24,russell,1952.51,-70.67000000000007,-117.72000000000003,-1
2026,1,russell,1891.66,-60.84999999999991,-97.8599999999999,-1
2026,2,russell,1993.31,101.64999999999986,79.8599999999999,1
2016,1,sainz,1450.0,,,0
2016,2,sainz,1510.83,60.82999999999993,,1
2016,3,sainz,1327.44,-183.38999999999987,,-1
2016,4,sainz,1460.27,132.82999999999993,,1
2016,5,sainz,1445.25,-15.019999999999982,,-1
2016,6,sainz,1583.65,138.4000000000001,133.6500000000001,1
2016,7,sainz,1589.45,5.7999999999999545,78.62000000000012,1
2016,8,sainz,1572.32,-17.13000000000011,244.87999999999988,-1
2016,9,sainz,1259.18,-313.1399999999999,-201.08999999999992,-1
2016,10,sainz,1445.44,186.26,0.19000000000005457,1
2016,11,sainz,1527.77,82.32999999999993,-55.88000000000011,1
2016,12,sainz,1566.63,38.86000000000013,-22.819999999999936,1
2016,13,sainz,1439.59,-127.04000000000019,-132.73000000000002,-1
2016,14,sainz,1228.12,-211.47000000000003,-31.060000000000173,-1
2016,15,sainz,1253.95,25.830000000000155,-191.49,1
2016,16,sainz,1287.93,33.98000000000002,-239.83999999999992,1
2016,17,sainz,1380.32,92.38999999999987,-186.31000000000017,1
2016,18,sainz,1281.74,-98.57999999999993,-157.8499999999999,-1
2016,19,sainz,1505.11,223.3699999999999,276.99,1
2016,20,sainz,1369.08,-136.02999999999997,115.12999999999988,-1
2016,21,sainz,1544.56,175.48000000000002,256.6299999999999,1
2017,1,sainz,1340.07,-204.49,-40.25,-1
2017,2,sainz,1471.98,131.91000000000008,190.24,1
2017,3,sainz,1559.08,87.09999999999991,53.97000000000003,1
2017,4,sainz,1368.24,-190.83999999999992,-0.8399999999999181,-1
2017,5,sainz,1435.38,67.1400000000001,-109.17999999999984,1
2017,6,sainz,1545.27,109.88999999999987,205.20000000000005,1
2017,7,sainz,1612.67,67.40000000000009,140.69000000000005,1
2017,8,sainz,1292.07,-320.60000000000014,-267.01,-1
2017,9,sainz,1445.99,153.92000000000007,77.75,1
2017,10,sainz,1290.03,-155.96000000000004,-145.35000000000014,-1
2017,11,sainz,1161.63,-128.39999999999986,-383.6399999999999,-1
2017,12,sainz,1398.65,237.01999999999998,-214.01999999999998,1
2017,13,sainz,1453.44,54.789999999999964,161.37000000000012,1
2017,14,sainz,1378.01,-75.43000000000006,-67.98000000000002,-1
2017,15,sainz,1591.47,213.46000000000004,301.44000000000005,1
2017,16,sainz,1318.68,-272.78999999999996,157.04999999999995,-1
2017,17,sainz,1163.7,-154.98000000000002,-234.95000000000005,-1
2017,18,sainz,1409.19,245.49,-44.25,1
2017,19,sainz,1314.21,-94.98000000000002,-63.799999999999955,-1
2017,20,sainz,1390.41,76.20000000000005,-201.05999999999995,1
2018,1,sainz,1243.69,-146.72000000000003,-74.99000000000001,-1
2018,2,sainz,1378.28,134.58999999999992,214.57999999999993,1
2018,3,sainz,1425.46,47.180000000000064,16.269999999999982,1
2018,4,sainz,1502.21,76.75,188.0,1
2018,5,sainz,1636.69,134.48000000000002,246.27999999999997,1
2018,6,sainz,1649.57,12.879999999999882,405.8799999999999,1
2018,7,sainz,1581.74,-67.82999999999993,203.46000000000004,-1
2018,8,sainz,1601.14,19.40000000000009,175.68000000000006,1
2018,9,sainz,1617.61,16.4699999999998,115.39999999999986,1
2018,10,sainz,1514.89,-102.7199999999998,-121.79999999999995,-1
2018,11,sainz,1346.46,-168.43000000000006,-303.1099999999999,-1
2018,12,sainz,1391.57,45.1099999999999,-190.17000000000007,1
2018,13,sainz,1484.42,92.85000000000014,-116.72000000000003,1
2018,14,sainz,1485.07,0.6499999999998636,-132.53999999999996,1
2018,15,sainz,1558.65,73.58000000000015,43.75999999999999,1
2018,16,sainz,1586.81,28.159999999999854,240.3499999999999,1
2018,17,sainz,1368.34,-218.47000000000003,-23.230000000000018,-1
2018,18,sainz,1441.27,72.93000000000006,-43.15000000000009,1
2018,19,sainz,1546.54,105.26999999999998,61.47000000000003,1
2018,20,sainz,1290.26,-256.28,-268.3900000000001,-1
2018,21,sainz,1341.83,51.569999999999936,-244.98000000000002,1
2019,1,sainz,1514.29,172.46000000000004,145.95000000000005,1
2019,2,sainz,1278.28,-236.01,-162.99,-1
2019,3,sainz,1179.83,-98.45000000000005,-366.71000000000004,-1
2019,4,sainz,1251.79,71.96000000000004,-38.47000000000003,1
2019,5,sainz,1460.18,208.3900000000001,118.35000000000014,1
2019,6,sainz,1546.81,86.62999999999988,32.51999999999998,1
2019,7,sainz,1642.84,96.02999999999997,364.55999999999995,1
2019,8,sainz,1566.82,-76.01999999999998,386.99,-1
2019,9,sainz,1653.61,86.78999999999996,401.81999999999994,1
2019,10,sainz,1657.42,3.810000000000173,197.24,1
2019,11,sainz,1717.75,60.32999999999993,170.94000000000005,1
2019,12,sainz,1776.25,58.5,133.41000000000008,1
2019,13,sainz,1799.86,23.6099999999999,233.03999999999996,1
2019,14,sainz,1432.64,-367.2199999999998,-220.9699999999998,-1
2019,15,sainz,1241.51,-191.1300000000001,-415.9100000000001,-1
2019,16,sainz,1345.1,103.58999999999992,-372.6500000000001,1
2019,17,sainz,1545.08,199.98000000000002,-231.17000000000007,1
2019,18,sainz,1671.11,126.02999999999997,-128.75,1
2019,19,sainz,1537.13,-133.9799999999998,104.49000000000001,-1
2019,20,sainz,1594.34,57.20999999999981,352.8299999999999,1
2019,21,sainz,1752.66,158.32000000000016,407.5600000000002,1
2020,1,sainz,1638.73,-113.93000000000006,93.65000000000009,-1
2020,2,sainz,1725.64,86.91000000000008,54.5300000000002,1
2020,3,sainz,1664.74,-60.90000000000009,127.6099999999999,-1
2020,4,sainz,1634.45,-30.289999999999964,40.11000000000013,-1
2020,5,sainz,1516.82,-117.63000000000011,-235.84000000000015,-1
2020,6,sainz,1457.34,-59.48000000000002,-181.3900000000001,-1
2020,7,sainz,1606.29,148.95000000000005,-119.35000000000014,1
2020,8,sainz,1313.85,-292.44000000000005,-350.8900000000001,-1
2020,9,sainz,1615.58,301.73,-18.87000000000012,1
2020,10,sainz,1376.5,-239.07999999999993,-140.31999999999994,-1
2020,11,sainz,1238.99,-137.51,-218.3499999999999,-1
2020,12,sainz,1527.71,288.72,-78.57999999999993,1
2020,13,sainz,1632.85,105.13999999999987,319.0,1
2020,14,sainz,1671.9,39.05000000000018,56.320000000000164,1
2020,15,sainz,1736.55,64.64999999999986,360.04999999999995,1
2020,16,sainz,1773.66,37.11000000000013,534.6700000000001,1
2020,17,sainz,1798.91,25.25,271.20000000000005,1
2021,1,sainz,1759.62,-39.29000000000019,126.76999999999998,-1
2021,2,sainz,1708.07,-51.549999999999955,36.169999999999845,-1
2021,3,sainz,1761.82,53.75,25.269999999999982,1
2021,4,sainz,1641.9,-119.91999999999985,-131.76,-1
2021,5,sainz,1681.58,39.679999999999836,-117.33000000000015,1
2021,6,sainz,1832.71,151.1300000000001,73.09000000000015,1
2021,7,sainz,1760.91,-71.79999999999995,52.840000000000146,-1
2021,8,sainz,1643.9,-117.00999999999999,-117.91999999999985,-1
2021,9,sainz,1713.86,69.95999999999981,71.95999999999981,1
2021,10,sainz,1773.21,59.350000000000136,91.63000000000011,1
2021,11,sainz,1789.59,16.37999999999988,-43.12000000000012,1
2021,12,sainz,1867.49,77.90000000000009,106.57999999999993,1
2021,13,sainz,1716.32,-151.17000000000007,72.41999999999985,-1
2021,14,sainz,1716.84,0.5199999999999818,2.980000000000018,1
2021,15,sainz,1744.28,27.440000000000055,-28.930000000000064,1
2021,16,sainz,1823.31,79.02999999999997,33.72000000000003,1
2021,17,sainz,1750.8,-72.50999999999999,-116.69000000000005,-1
2021,18,sainz,1743.33,-7.470000000000027,27.00999999999999,-1
2021,19,sainz,1762.27,18.940000000000055,45.430000000000064,1
2021,20,sainz,1773.83,11.559999999999945,29.549999999999955,1
2021,21,sainz,1752.0,-21.829999999999927,-71.30999999999995,-1
