year,round,race_name,circuit_id,driver_id,driver_code,constructor_id,quali_position,q1_time,q2_time,q3_time
2016,4,Russian Grand Prix,sochi,gutierrez,GUT,haas,16,1:38.678,1:38.115,
2016,4,Russian Grand Prix,sochi,kevin_magnussen,MAG,renault,17,1:38.914,,
2016,4,Russian Grand Prix,sochi,jolyon_palmer,PAL,renault,18,1:39.009,,
2016,4,Russian Grand Prix,sochi,nasr,NAS,sauber,19,1:39.018,,
2016,4,Russian Grand Prix,sochi,wehrlein,WEH,manor,20,1:39.399,,
2016,4,Russian Grand Prix,sochi,haryanto,HAR,manor,21,1:39.463,,
2016,4,Russian Grand Prix,sochi,ericsson,ERI,sauber,22,1:39.519,,
2016,5,Spanish Grand Prix,catalunya,hamilton,HAM,mercedes,1,1:23.214,1:22.159,1:22.000
2016,5,Spanish Grand Prix,catalunya,rosberg,ROS,mercedes,2,1:23.002,1:22.759,1:22.280
2016,5,Spanish Grand Prix,catalunya,ricciardo,RIC,red_bull,3,1:23.749,1:23.585,1:22.680
2016,5,Spanish Grand Prix,catalunya,max_verstappen,VER,red_bull,4,1:23.578,1:23.178,1:23.087
2016,5,Spanish Grand Prix,catalunya,raikkonen,RAI,ferrari,5,1:23.796,1:23.504,1:23.113
2016,5,Spanish Grand Prix,catalunya,vettel,VET,ferrari,6,1:24.124,1:23.688,1:23.334
2016,5,Spanish Grand Prix,catalunya,bottas,BOT,williams,7,1:24.251,1:24.023,1:23.522
2016,5,Spanish Grand Prix,catalunya,sainz,SAI,toro_rosso,8,1:24.496,1:24.077,1:23.643
2016,5,Spanish Grand Prix,catalunya,perez,PER,force_india,9,1:24.698,1:24.003,1:23.782
2016,5,Spanish Grand Prix,catalunya,alonso,ALO,mclaren,10,1:24.578,1:24.192,1:23.981
2016,5,Spanish Grand Prix,catalunya,hulkenberg,HUL,force_india,11,1:24.463,1:24.203,
2016,5,Spanish Grand Prix,catalunya,button,BUT,mclaren,12,1:24.583,1:24.348,
2017,1,Australian Grand Prix,albert_park,hamilton,HAM,mercedes,1,1:24.191,1:23.251,1:22.188
2017,1,Australian Grand Prix,albert_park,vettel,VET,ferrari,2,1:25.210,1:23.401,1:22.456
2017,1,Australian Grand Prix,albert_park,bottas,BOT,mercedes,3,1:24.514,1:23.215,1:22.481
2017,1,Australian Grand Prix,albert_park,raikkonen,RAI,ferrari,4,1:24.352,1:23.376,1:23.033
2017,1,Australian Grand Prix,albert_park,max_verstappen,VER,red_bull,5,1:24.482,1:24.092,1:23.485
2017,1,Australian Grand Prix,albert_park,grosjean,GRO,haas,6,1:25.419,1:24.718,1:24.074
2017,1,Australian Grand Prix,albert_park,massa,MAS,williams,7,1:25.099,1:24.597,1:24.443
2017,1,Australian Grand Prix,albert_park,sainz,SAI,toro_rosso,8,1:25.542,1:24.997,1:24.487
2017,1,Australian Grand Prix,albert_park,kvyat,KVY,toro_rosso,9,1:25.970,1:24.864,1:24.512
2017,1,Australian Grand Prix,albert_park,ricciardo,RIC,red_bull,10,1:25.383,1:23.989,
2017,1,Australian Grand Prix,albert_park,perez,PER,force_india,11,1:25.064,1:25.081,
2017,1,Australian Grand Prix,albert_park,hulkenberg,HUL,renault,12,1:24.975,1:25.091,
2017,1,Australian Grand Prix,albert_park,alonso,ALO,mclaren,13,1:25.872,1:25.425,
2017,1,Australian Grand Prix,albert_park,ocon,OCO,force_india,14,1:26.009,1:25.568,
2017,1,Australian Grand Prix,albert_park,ericsson,ERI,sauber,15,1:26.236,1:26.465,
2017,1,Australian Grand Prix,albert_park,giovinazzi,GIO,sauber,16,1:26.419,,
2017,1,Australian Grand Prix,albert_park,kevin_magnussen,MAG,haas,17,1:26.847,,
2017,1,Australian Grand Prix,albert_park,vandoorne,VAN,mclaren,18,1:26.858,,
2017,1,Australian Grand Prix,albert_park,stroll,STR,williams,19,1:27.143,,
2017,1,Australian Grand Prix,albert_park,jolyon_palmer,PAL,renault,20,1:28.244,,
2017,2,Chinese Grand Prix,shanghai,hamilton,HAM,mercedes,1,1:33.333,1:32.406,1:31.678
2017,2,Chinese Grand Prix,shanghai,vettel,VET,ferrari,2,1:33.078,1:32.391,1:31.864
2017,2,Chinese Grand Prix,shanghai,bottas,BOT,mercedes,3,1:33.684,1:32.552,1:31.865
2017,2,Chinese Grand Prix,shanghai,raikkonen,RAI,ferrari,4,1:33.341,1:32.181,1:32.140
2017,2,Chinese Grand Prix,shanghai,ricciardo,RIC,red_bull,5,1:34.041,1:33.546,1:33.033
2017,2,Chinese Grand Prix,shanghai,massa,MAS,williams,6,1:34.205,1:33.759,1:33.507
2017,2,Chinese Grand Prix,shanghai,hulkenberg,HUL,renault,7,1:34.453,1:33.636,1:33.580
2017,2,Chinese Grand Prix,shanghai,perez,PER,force_india,8,1:34.657,1:33.920,1:33.706
2017,2,Chinese Grand Prix,shanghai,kvyat,KVY,toro_rosso,9,1:34.440,1:34.034,1:33.719
2017,2,Chinese Grand Prix,shanghai,stroll,STR,williams,10,1:33.986,1:34.090,1:34.220
