sim_num,champion,max_points
725,antonelli,289.0
726,antonelli,265.0
727,antonelli,311.0
728,antonelli,303.0
729,antonelli,359.0
730,antonelli,303.0
731,antonelli,277.0
732,antonelli,247.0
733,antonelli,317.0
734,antonelli,369.0
735,antonelli,327.0
736,antonelli,331.0
737,antonelli,279.0
738,antonelli,395.0
739,antonelli,319.0
740,antonelli,297.0
741,antonelli,259.0
742,antonelli,341.0
743,antonelli,299.0
744,antonelli,339.0
745,antonelli,363.0
746,antonelli,215.0
747,antonelli,301.0
748,antonelli,281.0
749,antonelli,327.0
750,antonelli,389.0
751,antonelli,255.0
752,antonelli,317.0
753,antonelli,317.0
754,antonelli,323.0
755,antonelli,269.0
756,antonelli,293.0
757,antonelli,299.0
758,antonelli,269.0
759,antonelli,247.0
760,antonelli,217.0
761,antonelli,331.0
762,antonelli,297.0
763,antonelli,343.0
764,antonelli,249.0
765,antonelli,457.0
766,antonelli,333.0
767,antonelli,213.0
768,antonelli,297.0
769,antonelli,443.0
770,antonelli,207.0
771,antonelli,223.0
772,antonelli,271.0
773,antonelli,345.0
774,antonelli,293.0
775,antonelli,301.0
776,antonelli,319.0
777,antonelli,255.0
778,antonelli,247.0
779,antonelli,333.0
780,antonelli,299.0
781,antonelli,303.0
782,antonelli,421.0
783,antonelli,339.0
784,antonelli,339.0
785,antonelli,433.0
786,antonelli,355.0
787,antonelli,333.0
788,antonelli,387.0
789,antonelli,291.0
790,antonelli,267.0
791,antonelli,351.0
792,antonelli,289.0
793,antonelli,357.0
794,antonelli,321.0
795,antonelli,263.0
796,antonelli,389.0
797,antonelli,339.0
798,antonelli,245.0
799,antonelli,305.0
800,antonelli,277.0
801,antonelli,321.0
802,antonelli,211.0
803,antonelli,351.0
804,antonelli,175.0
805,antonelli,287.0
806,antonelli,317.0
807,antonelli,317.0
808,antonelli,265.0
809,antonelli,257.0
810,antonelli,199.0
811,antonelli,317.0
812,antonelli,311.0
813,antonelli,309.0
814,antonelli,275.0
815,antonelli,415.0
816,antonelli,237.0
817,antonelli,387.0
818,antonelli,263.0
819,antonelli,359.0
820,antonelli,287.0
821,antonelli,267.0
822,antonelli,217.0
823,antonelli,287.0
824,antonelli,269.0
825,antonelli,241.0
826,antonelli,385.0
827,antonelli,343.0
828,antonelli,309.0
829,antonelli,351.0
830,antonelli,367.0
831,antonelli,337.0
832,antonelli,309.0
833,antonelli,193.0
834,antonelli,351.0
835,antonelli,287.0
836,antonelli,241.0
837,antonelli,221.0
838,antonelli,249.0
839,antonelli,195.0
840,antonelli,211.0
841,antonelli,385.0
842,antonelli,367.0
843,antonelli,351.0
844,antonelli,291.0
845,antonelli,329.0
846,antonelli,343.0
847,antonelli,347.0
848,antonelli,307.0
849,antonelli,303.0
850,antonelli,287.0
851,antonelli,243.0
852,antonelli,283.0
853,antonelli,315.0
854,antonelli,327.0
855,antonelli,277.0
856,antonelli,217.0
857,antonelli,187.0
858,antonelli,345.0
859,antonelli,165.0
860,antonelli,243.0
861,antonelli,373.0
862,antonelli,335.0
863,antonelli,271.0
864,antonelli,297.0
865,antonelli,335.0
866,antonelli,349.0
867,antonelli,291.0
868,antonelli,315.0
869,antonelli,295.0
870,antonelli,201.0
871,antonelli,345.0
872,antonelli,367.0
873,antonelli,281.0
874,antonelli,373.0
875,antonelli,355.0
876,antonelli,275.0
877,antonelli,221.0
878,antonelli,311.0
879,antonelli,289.0
880,antonelli,279.0
881,antonelli,253.0
882,antonelli,211.0
883,antonelli,271.0
884,antonelli,209.0
885,antonelli,365.0
886,antonelli,281.0
887,antonelli,345.0
888,antonelli,359.0
889,antonelli,259.0
890,antonelli,257.0
891,antonelli,289.0
892,antonelli,339.0
893,antonelli,229.0
894,antonelli,391.0
895,antonelli,281.0
896,antonelli,345.0
897,antonelli,339.0
898,antonelli,321.0
899,antonelli,317.0
900,antonelli,379.0
901,antonelli,301.0
902,antonelli,257.0
903,antonelli,231.0
904,antonelli,451.0
905,antonelli,299.0
906,antonelli,275.0
907,antonelli,397.0
908,antonelli,305.0
909,antonelli,297.0
910,antonelli,301.0
911,antonelli,311.0
912,antonelli,403.0
913,antonelli,313.0
914,antonelli,221.0
915,russell,228.0
916,antonelli,345.0
917,antonelli,309.0
918,antonelli,299.0
919,antonelli,291.0
920,antonelli,203.0
921,antonelli,291.0
922,antonelli,245.0
923,antonelli,347.0
924,antonelli,265.0
925,antonelli,339.0
926,antonelli,309.0
927,antonelli,345.0
928,antonelli,309.0
929,antonelli,331.0
930,antonelli,315.0
931,antonelli,355.0
932,antonelli,303.0
933,antonelli,373.0
934,antonelli,335.0
935,antonelli,273.0
936,antonelli,269.0
937,antonelli,265.0
938,antonelli,335.0
939,antonelli,321.0
940,antonelli,299.0
941,antonelli,381.0
942,antonelli,417.0
943,antonelli,383.0
944,antonelli,271.0
945,antonelli,311.0
946,antonelli,345.0
947,antonelli,429.0
948,antonelli,293.0
949,antonelli,293.0
950,antonelli,349.0
951,antonelli,249.0
952,antonelli,257.0
953,antonelli,371.0
954,antonelli,253.0
955,antonelli,339.0
956,russell,208.0
957,antonelli,323.0
958,antonelli,275.0
959,antonelli,243.0
960,antonelli,349.0
961,antonelli,373.0
962,antonelli,273.0
963,antonelli,379.0
964,antonelli,367.0
965,antonelli,429.0
966,antonelli,287.0
967,antonelli,251.0
968,antonelli,365.0
969,antonelli,319.0
970,antonelli,307.0
971,antonelli,387.0
972,antonelli,347.0
973,antonelli,307.0
974,antonelli,303.0
975,antonelli,237.0
976,antonelli,271.0
977,antonelli,249.0
978,antonelli,173.0
979,antonelli,325.0
980,antonelli,431.0
981,antonelli,263.0
982,antonelli,237.0
983,antonelli,247.0
984,antonelli,389.0
985,antonelli,227.0
986,antonelli,367.0
987,antonelli,315.0
988,antonelli,411.0
989,antonelli,265.0
990,antonelli,275.0
991,antonelli,291.0
992,antonelli,241.0
993,antonelli,325.0
994,antonelli,383.0
995,antonelli,259.0
996,antonelli,371.0
997,antonelli,433.0
998,antonelli,301.0
999,antonelli,371.0
